"type","country","year_added","release_year","rating","title"
"Movie","India",2018,1989,"TV-PG","Maine Pyar Kiya"
"TV Show","",2017,2015,"TV-PG","Mak Cun"
"TV Show","United States",2018,2018,"TV-14","Making a Murderer"
"Movie","United States",2020,2020,"TV-MA","Making The Witcher"
"Movie","Germany",2020,2020,"TV-G","Making Unorthodox"
"TV Show","Australia",2020,2016,"TV-G","Mako Mermaids: An H2O Adventure"
"Movie","Israel",2018,2018,"TV-MA","Maktub"
"Movie","India",2018,2017,"TV-PG","Mala Kahich Problem Nahi"
"Movie","India",2019,2019,"TV-14","Malaal"
"Movie","India",2020,2020,"TV-MA","Malang"
"Movie","Argentina",2018,2018,"TV-MA","Malena Pichot: Estupidez compleja"
"Movie","United Kingdom",2018,2018,"TV-MA","Malevolent"
"Movie","United States",2019,2019,"TV-G","Malibu Rescue"
"Movie","United States",2020,2020,"TV-G","Malibu Rescue: The Next Wave"
"TV Show","United States",2019,2019,"TV-G","Malibu Rescue: The Series"
"Movie","United States",2019,2018,"TV-MA","Malicious"
"Movie","India",2019,2019,"TV-PG","Mallesham"
"Movie","Egypt",2020,2018,"TV-14","Mama's Boy"
"TV Show","United Kingdom",2017,2017,"TV-MA","Man Down"
"TV Show","United Kingdom",2020,2020,"TV-MA","Man Like Mobeen"
"Movie","United States, China, Hong Kong",2018,2013,"R","Man of Tai Chi"
"TV Show","South Korea",2017,2017,"TV-14","Man to Man"
"Movie","United Kingdom, France",2018,2015,"R","Man Up"
"TV Show","",2018,2018,"TV-PG","Man vs Wild with Sunny Leone"
"TV Show","United States",2020,2020,"TV-PG","Man with a Plan"
"Movie","India",2020,1983,"TV-MA","Mandi"
"Movie","India",2018,2017,"TV-14","Mandobasar Galpo"
"Movie","United States",2017,2014,"PG-13","Manglehorn"
"Movie","United States",2018,2016,"TV-14","Mango Dreams"
"Movie","United States",2017,2014,"TV-14","Manhattan Romance"
"Movie","China, Hong Kong",2018,2017,"TV-MA","Manhunt"
"TV Show","",2020,2020,"TV-14","Manhunt: Deadly Games"
"TV Show","United States",2018,2018,"TV-MA","Maniac"
"Movie","India",2020,2020,"TV-14","Maniyarayile Ashokan"
"Movie","India",2018,2017,"TV-14","Manje Bistre"
"Movie","United States",2020,2020,"R","MANK"
"Movie","India",2019,2019,"TV-MA","Manmadhudu 2"
"Movie","India",2020,1999,"TV-14","Mann"
"Movie","United Kingdom",2018,2017,"TV-MA","Manolo: The Boy Who Made Shoes for Lizards"
"Movie","India",2020,2007,"TV-14","Manorama Six Feet Under"
"Movie","India",2017,1974,"TV-14","Manoranjan"
"Movie","United Kingdom",2020,1999,"PG-13","Mansfield Park"
"Movie","United States",2015,2015,"TV-MA","Manson Family Vacation"
"Movie","India",2018,2018,"TV-MA","Manto"
"Movie","India",2017,2017,"TV-MA","Mantostaan"
"Movie","India",2017,2017,"TV-14","Mantra"
"Movie","India",2019,2018,"TV-14","Manu"
"Movie","India",2019,2017,"TV-14","Manusangada"
"Movie","Canada, Germany, France, United States",2018,2014,"R","Maps to the Stars"
"TV Show","Spain",2017,2017,"TV-MA","Mar de Plástico"
"Movie","United Kingdom",2019,2017,"TV-MA","Mara"
"TV Show","Argentina, United States, Mexico",2019,2020,"TV-MA","Maradona in Mexico"
"Movie","Canada, United States",2020,2016,"R","Marauders"
"Movie","United States",2020,2020,"TV-MA","Marc Maron: End Times Fun"
"Movie","United States",2018,2013,"TV-MA","Marc Maron: Thinky Pain"
"Movie","United States",2017,2017,"TV-MA","Marc Maron: Too Real"
"TV Show","United Kingdom",2020,2019,"TV-MA","Marcella"
"TV Show","Japan",2019,2017,"TV-14","March Comes in Like a Lion"
"TV Show","United States",2018,2018,"TV-14","Marching Orders"
"Movie","Brazil",2017,2017,"TV-MA","Marco Luque: Tamo Junto"
"TV Show","United States",2016,2016,"TV-MA","Marco Polo"
"Movie","United States",2015,2015,"TV-MA","Marco Polo: One Hundred Eyes"
"Movie","Philippines",2019,2019,"TV-MA","Maria"
"Movie","United States",2017,2017,"TV-MA","Maria Bamford: Old Baby"
"Movie","United States",2018,2012,"TV-MA","Maria Bamford: The Special Special Special"
"Movie","United States",2016,2015,"TV-G","Mariah Carey's Merriest Christmas"
"TV Show","France",2019,2019,"TV-MA","Marianne"
"Movie","",2016,2016,"TV-MA","Mariusz Kałamaga, Karol Kopiec, Wiolka Walaszczyk Hilarious Trio"
"Movie","",2016,2016,"TV-14","Mark Gatiss: A Study in Sherlock"
"TV Show","United States",2019,2018,"TV-14","Marlon"
"Movie","United States",2018,2018,"TV-MA","Marlon Wayans: Woke-ish"
"Movie","India",2017,2016,"TV-MA","Maroon"
"Movie","India",2019,2018,"TV-14","Marriage Palace"
"Movie","United Kingdom, United States",2019,2019,"R","Marriage Story"
"TV Show","United States",2020,2019,"TV-14","Married at First Sight"
"TV Show","United States",2019,2018,"TV-PG","Mars"
"TV Show","France",2018,2018,"TV-MA","Marseille"
"Movie","Hong Kong, China",2018,1986,"R","Martial Arts of Shaolin"
"Movie","United States",2019,2002,"R","Martin Lawrence Live: Runteldat"
"Movie","United States",2018,2017,"TV-PG","Martin Luther: The Idea that Changed the World"
"Movie","Canada",2019,2019,"TV-14","Martin Matte: La vie, la mort...eh la la..!"
"Movie","India",2018,2016,"TV-14","Martyrs of Marriage"
"Movie","",2015,2014,"TV-PG","Marvel & ESPN Films Present: 1 of 1: Genesis"
"TV Show","United States, Japan",2020,2011,"TV-14","Marvel Anime: Wolverine"
"TV Show","Japan",2020,2011,"TV-14","Marvel Anime: X-Men"
"Movie","United States",2016,2015,"PG","Marvel Super Hero Adventures: Frost Fight!"
"TV Show","United States",2020,2020,"TV-14","Marvel's Agents of S.H.I.E.L.D."
"TV Show","United States",2018,2018,"TV-MA","Marvel's Daredevil"
"Movie","United States",2017,2016,"PG","Marvel's Hulk: Where Monsters Dwell"
"TV Show","United States",2018,2018,"TV-MA","Marvel's Iron Fist"
"Movie","United States",2014,2013,"PG","Marvel's Iron Man & Hulk: Heroes United"
"TV Show","United States",2019,2019,"TV-MA","Marvel's Jessica Jones"
"TV Show","United States",2018,2018,"TV-MA","Marvel's Luke Cage"
"TV Show","United States",2017,2017,"TV-MA","Marvel's The Defenders"
"TV Show","United States",2019,2019,"TV-MA","Marvel's The Punisher"
"Movie","Japan",2018,2017,"PG","Mary and the Witch's Flower"
"Movie","India",2020,2014,"TV-PG","Mary Kom"
"Movie","United States, United Kingdom",2019,2018,"PG","Mary Poppins Returns"
"TV Show","United Kingdom",2019,2016,"TV-14","Mary Portas: Secret Shopper"
"TV Show","India",2020,2020,"TV-MA","Masaba Masaba"
"Movie","Saudi Arabia",2020,2020,"TV-14","Masameer - The Movie"
"TV Show","Saudi Arabia",2020,2013,"TV-14","Masameer Classics"
"Movie","United States",2016,2016,"TV-MA","Mascots"
"TV Show","Russia",2020,2019,"TV-Y","Masha and the Bear"
"TV Show","United States, Russia",2016,2012,"TV-Y","Masha's Spooky Stories"
"TV Show","",2016,2012,"TV-Y","Masha's Tales"
"Movie","India",2020,2020,"TV-MA","Maska"
"Movie","India",2019,1983,"TV-14","Masoom"
"Movie","South Korea",2018,2016,"NR","Master"
"TV Show","United States",2017,2017,"TV-MA","Master of None"
"Movie","Hong Kong, China",2019,2018,"TV-14","Master Z: The Ip Man Legacy"
"Movie","",2020,2017,"TV-14","Match"
"Movie","Argentina",2018,2017,"TV-MA","Mater"
"Movie","South Africa",2020,2012,"TV-14","Material"
"Movie","India",2018,2006,"TV-14","Matichya Chuli"
"Movie","Mexico",2018,2018,"TV-MA","Mau Nieto: Viviendo sobrio… desde el bar"
"Movie","India",2019,2018,"TV-14","Mauli"
"Movie","Brazil",2020,2020,"TV-MA","Maurício Meirelles: Generating Chaos"
"Movie","United States",2017,2013,"TV-14","Max Rose"
"Movie","Indonesia",2018,2018,"TV-MA","May the Devil Take You"
"Movie","Hong Kong",2018,2014,"TV-MA","May We Chat"
"Movie","Egypt",2019,2017,"TV-14","May You Prosper"
"Movie","United States",2017,2016,"TV-PG","Maya Angelou: And Still I Rise"
"Movie","France, United Kingdom, India",2017,1993,"TV-14","Maya Memsaab"
"Movie","China, Taiwan",2019,2019,"TV-PG","Mayday Life"
"Movie","United States",2018,2017,"TV-PG","Maynard"
"Movie","",2017,2017,"TV-14","Maz Jobrani: Immigrant"
"Movie","India",2018,1988,"TV-PG","Maza Pati Karodpati"
"Movie","Mexico",2017,2016,"TV-MA","Me and the Alien"
"Movie","Mexico",2017,2017,"TV-MA","Mea Culpa"
"Movie","Canada",2019,2016,"R","Mean Dreams"
"Movie","United States",2021,2011,"PG-13","Mean Girls 2"
"Movie","United States",2019,1973,"R","Mean Streets"
"TV Show","United States",2020,2020,"TV-14","MeatEater"
"TV Show","United States",2018,2018,"TV-MA","Medal of Honor"
"TV Show","United States",2020,2020,"TV-MA","Medical Police"
"TV Show","Italy, United Kingdom, France",2020,2019,"TV-MA","Medici: Masters of Florence"
"Movie","Canada",2018,2017,"TV-PG","Meditation Park"
"Movie","Poland, West Germany",2019,1985,"TV-MA","Medium"
"TV Show","United Kingdom",2019,2016,"TV-PG","Meet the Adebanjos"
"Movie","Nigeria",2020,2017,"TV-PG","Meet the In-Laws"
"Movie","United Kingdom",2017,2017,"TV-14","Meet the Trumps: From Immigrant to President"
"TV Show","United Kingdom",2019,2013,"TV-G","Mega Food"
"TV Show","Japan",2020,2018,"TV-MA","Megalobox"
"TV Show","Australia",2019,2012,"TV-PG","MegaTruckers"
"Movie","India",2018,2017,"TV-MA","Meghnadbodh Rohoshyo"
"Movie","India",2019,2019,"TV-MA","Mehandi Circus"
"Movie","India",2018,2017,"TV-PG","Melle"
"TV Show","",2019,2016,"TV-14","Melodies of Life - Born This Way"
"Movie","United States",2018,2003,"R","Melvin Goes to Dinner"
"Movie","South Korea",2018,2017,"TV-MA","Memoir of a Murderer"
"Movie","Argentina",2020,2019,"TV-MA","Memories of a Teenager"
"TV Show","South Korea",2018,2018,"TV-MA","Memories of the Alhambra"
"Movie","Germany, United States, Sweden",2019,2018,"TV-14","Memory Games"
"TV Show","",2019,2017,"TV-14","Memory Love"
"Movie","United States",2019,1997,"PG-13","Men in Black"
"Movie","United States",2019,2002,"PG-13","Men in Black II"
"TV Show","South Korea",2020,2020,"TV-14","Men on a Mission"
"Movie","Saudi Arabia",2020,2008,"TV-14","Menahi"
"Movie","United States",2020,2017,"PG","Menashe"
"Movie","Canada, Spain",2017,2016,"TV-MA","Menorca"
"Movie","Indonesia",2019,2009,"R","Merantau"
"Movie","New Zealand",2019,2018,"TV-14","Merata: How Mum Decolonised the Screen"
"Movie","France",2016,2016,"TV-MA","Mercenary"
"Movie","United States",2018,2018,"TV-PG","Mercury 13"
"Movie","United States",2016,2016,"TV-MA","Mercy"
"Movie","United States",2019,2019,"TV-14","Mercy Black"
"TV Show","",2018,2018,"TV-14","Mere Papa Hero Hiralal"
"Movie","India",2019,2019,"TV-MA","Mere Pyare Prime Minister"
"Movie","India",2019,2018,"TV-MA","Merku Thodarchi Malai"
"TV Show","Spain",2016,2015,"TV-MA","Merlí"
"TV Show","United Kingdom",2016,2012,"TV-PG","Merlin"
"TV Show","United States",2019,2019,"TV-PG","Merry Happy Whatever"
"Movie","Nigeria",2020,2019,"TV-MA","Merry Men 2: Another Mission"
"Movie","Nigeria",2019,2018,"TV-MA","Merry Men: The Real Yoruba Demons"
"Movie","India",2018,2017,"TV-14","Mersal"
"Movie","United Kingdom, France, Belgium, United States",2017,2017,"TV-MA","Message from the King"
"TV Show","United States",2020,2020,"TV-MA","Messiah"
"Movie","United States",2020,2013,"R","Metallica Through The Never"
"TV Show","United States",2017,2014,"TV-MA","Metallica: Some Kind of Monster"
"TV Show","China",2018,2018,"TV-14","Meteor Garden"
"Movie","India",2018,2016,"TV-14","Metro"
"Movie","Mexico",2018,2016,"TV-MA","Mexicanos de Bronce"
"TV Show","United States",2017,2016,"TV-PG","Mexico Diseña"
"Movie","France, Japan",2019,2017,"R","MFKZ"
"Movie","Chile",2019,2019,"TV-PG","Mi amigo Alexis"
"Movie","Argentina, Spain",2019,2018,"TV-MA","Mi Obra Maestra"
"Movie","India",2018,2009,"TV-14","Mi Shivajiraje Bhosale Boltoy"
"Movie","United Kingdom",2019,2015,"R","MI-5"
"TV Show","Netherlands, Germany, Italy, Canada",2020,2017,"TV-Y7","Mia and Me"
"Movie","India",2020,2011,"TV-MA","Michael"
"Movie","United States",2017,2017,"TV-MA","Michael Bolton's Big, Sexy Valentine's Day Special"
"Movie","United States",2016,2016,"TV-MA","Michael Che Matters"
"Movie","Canada, United States",2017,2017,"TV-PG","Michael Lost and Found"
"Movie","United Kingdom",2020,2020,"TV-MA","Michael McIntyre: Showman"
"Movie","United States",2020,2020,"TV-MA","Michelle Buteau: Welcome to Buteaupia"
"Movie","United States",2019,2019,"TV-MA","Michelle Wolf: Joke Show"
"Movie","United States",2020,2009,"R","Middle Men"
"Movie","United States, Cambodia",2019,2016,"PG","Middle School: The Worst Years of My Life"
"TV Show","United States",2020,2020,"TV-MA","Middleditch & Schwartz"
"Movie","Canada",2020,2020,"TV-G","Midnight at the Magnolia"
"TV Show","Japan",2020,2014,"TV-MA","Midnight Diner"
"TV Show","Japan",2019,2019,"TV-MA","Midnight Diner: Tokyo Stories"
"TV Show","India",2019,2018,"TV-14","Midnight Misadventures With Mallika Dua"
"Movie","United States, Greece",2020,2016,"PG-13","Midnight Special"
"TV Show","United States, Canada",2020,2020,"TV-Y","Mighty Express"
"Movie","Canada",2020,2020,"TV-Y","Mighty Express: A Mighty Christmas"
"TV Show","",2020,2020,"TV-Y","Mighty Little Bheem"
"TV Show","India",2019,2019,"TV-Y","Mighty Little Bheem: Diwali"
"TV Show","India",2020,2020,"TV-Y","Mighty Little Bheem: Festival of Colors"
"TV Show","India",2021,2021,"TV-Y","Mighty Little Bheem: Kite Festival"
"TV Show","",2016,1996,"TV-Y7","Mighty Morphin Alien Rangers"
"TV Show","United States, Japan",2016,2010,"TV-Y7","Mighty Morphin Power Rangers"
"Movie","India",2020,2014,"TV-Y7","Mighty Raju Rio Calling"
"Movie","United States",2020,2013,"TV-14","Mike Birbiglia: My Girlfriend's Boyfriend"
"Movie","United States",2017,2017,"TV-MA","Mike Birbiglia: Thank God for Jokes"
"Movie","United States",2019,2019,"TV-MA","Mike Birbiglia: The New One"
"Movie","United States",2019,2008,"TV-MA","Mike Birbiglia: What I Should Have Said Was Nothing: Tales from My Secret Public Journal"
"Movie","United States",2015,2015,"TV-MA","Mike Epps: Don't Take It Personal"
"Movie","United States",2019,2019,"TV-MA","Mike Epps: Only One Mike"
"Movie","Czech Republic, United States",2018,2017,"TV-14","Milada"
"Movie","United States, China, Colombia",2020,2018,"R","Mile 22"
"Movie","Indonesia",2020,2020,"TV-14","Milea"
"Movie","United States",2020,2019,"TV-MA","Miles Davis: Birth of the Cool"
"Movie","France, Belgium",2020,2018,"TV-MA","MILF"
"Movie","United States",2017,2008,"R","Milk"
"TV Show","Argentina",2019,2019,"TV-MA","Millennials"
"TV Show","United States",2020,2020,"TV-MA","Million Dollar Beach House"
"TV Show","United Kingdom",2019,2019,"TV-MA","Million Pound Menu"
"TV Show","Japan",2017,2017,"TV-MA","Million Yen Women"
"TV Show","Singapore",2017,2015,"TV-14","Mind Game"
"Movie","Austria",2020,2017,"R","MindGamers"
"Movie","United Kingdom",2017,2017,"TV-MA","Mindhorn"
"TV Show","United States",2019,2019,"TV-MA","MINDHUNTER"
"Movie","United States, Spain, Italy",2019,2016,"TV-14","Mine"
"Movie","United States",2020,2019,"TV-MA","Mine 9"
"TV Show","United States, Sweden",2018,2015,"TV-PG","Minecraft: Story Mode"
"TV Show","France",2018,2014,"TV-G","Mini Wolf"
"TV Show","",2017,2016,"TV-Y7","Miniforce"
"TV Show","South Korea",2019,2018,"TV-Y7","Miniforce X"
"Movie","United States",2019,2016,"TV-14","Minimalism: A Documentary About the Important Things"
"Movie","India",2018,2017,"TV-14","Minnaminugu the FireFly"
"TV Show","United States",2018,2013,"TV-PG","Minute to Win It"
"Movie","Canada, United States",2018,2004,"PG","Miracle"
"Movie","Turkey",2020,2019,"TV-14","Miracle in Cell No. 7"
"TV Show","France, South Korea, Japan",2020,2019,"TV-Y7","Miraculous: Tales of Ladybug & Cat Noir"
"Movie","Spain",2019,2018,"TV-MA","Mirage"
"Movie","Japan",2020,2018,"PG","Mirai"
"Movie","United States",2019,2019,"TV-14","Miranda Sings Live…Your Welcome"
"Movie","United States, Canada",2020,2012,"PG","Mirror Mirror"
"Movie","India",2017,2016,"TV-MA","Mirzya"
"TV Show","South Korea",2019,2014,"TV-MA","Misaeng"
"Movie","India",2020,2019,"TV-PG","Mischief"
"Movie","Netherlands",2019,2017,"TV-14","Misfit"
"Movie","Netherlands",2020,2019,"TV-G","Misfit 2"
"TV Show","India",2020,2020,"TV-MA","Mismatched"
"Movie","United States",2020,2020,"TV-MA","Miss Americana"
"TV Show","",2019,2019,"TV-14","Miss Culinary"
"TV Show","Mexico",2018,2015,"TV-14","Miss Dynamite"
"Movie","Japan",2017,2015,"PG-13","Miss Hokusai"
"TV Show","Taiwan",2016,2016,"TV-14","Miss in Kiss"
"Movie","India",2020,2020,"TV-PG","Miss India"
"Movie","Singapore",2018,2014,"TV-MA","Miss J Contemplates Her Choice"
"Movie","Norway, United Kingdom, France, Ireland",2015,2014,"PG-13","Miss Julie"
"Movie","United States",2017,2017,"TV-14","Miss Me This Christmas"
"TV Show","South Korea",2016,2012,"TV-PG","Miss Panda & Mr. Hedgehog"
"Movie","United States",2017,2011,"NR","Miss Representation"
"TV Show","Taiwan",2016,2015,"TV-MA","Miss Rose"
"Movie","United States",2017,2015,"TV-MA","Miss Sharon Jones!"
"Movie","United States",2016,2016,"NR","Miss Stevens"
"Movie","United States",2020,2019,"TV-MA","Miss Virginia"
"Movie","United States, Bermuda, Ecuador",2014,2014,"TV-PG","Mission Blue"
"Movie","United States, United Kingdom",2017,2017,"TV-14","Mission Control: The Unsung Heroes of Apollo"
"Movie","India",2019,2008,"TV-MA","Mission Istaanbul: Darr Ke Aagey Jeet Hai"
"Movie","United Kingdom, Poland",2019,2018,"TV-MA","Mission of Honor"
"Movie","Malaysia",2017,2014,"TV-PG","Mission: Destroy Love"
"Movie","United States",2018,2015,"R","Mississippi Grind"
"Movie","United States",2014,2014,"TV-PG","Mitt"
"Movie","United States",2018,2018,"TV-MA","Mo Amer: The Vagabond"
"Movie","United Kingdom",2019,2019,"TV-MA","Mo Gilligan: Momentum"
"TV Show","Japan",2018,2018,"TV-MA","Mob Psycho 100"
"TV Show","Japan",2018,2014,"TV-PG","Mobile Suit Gundam UC"
"TV Show","Japan",2019,2016,"TV-14","Mobile Suit Gundam: Iron-Blooded Orphans"
"Movie","Japan",2020,2018,"PG","Modest Heroes: Ponoc Short Films Theatre"
"TV Show","United States",2020,2000,"TV-PG","Moesha"
"Movie","India",2017,2016,"TV-MA","Moh Maya Money"
"Movie","Egypt",2020,2019,"TV-14","Mohamed Hussein"
"Movie","United States",2018,2017,"TV-MA","Mohawk"
"Movie","India",2018,2016,"TV-14","Mohenjo Daro"
"Movie","United States",2018,2015,"R","Mojave"
"Movie","Nigeria",2019,2019,"TV-14","Mokalik (Mechanic)"
"TV Show","France",2019,2015,"TV-Y","Molang"
"Movie","China, Canada, United States",2020,2017,"R","Molly's Game"
"Movie","India",2018,2017,"TV-14","Mom"
"TV Show","South Korea",2017,2014,"TV-14","Momo Salon"
"Movie","Nigeria",2020,2018,"TV-14","Moms at War"
"Movie","United States",2019,2003,"PG-13","Mona Lisa Smile"
"TV Show","Mexico",2021,2021,"TV-MA","Monarca"
"Movie","United States, Spain",2017,2016,"R","Money"
"TV Show","",2019,2015,"TV-PG","Money for Nothing"
"Movie","Spain",2020,2020,"TV-MA","Money Heist: The Phenomenon"
"Movie","United States",2019,1997,"R","Money Talks"
"Movie","Turkey",2019,2019,"TV-MA","Money Trap"
"TV Show","",2019,2017,"TV-Y7","MONKART"
"TV Show","United Kingdom",2017,2014,"TV-PG","Monkey Planet"
"TV Show","Thailand",2018,2018,"TV-MA","Monkey Twins"
"Movie","Canada",2016,2016,"PG","Monkey Up"
"Movie","Egypt",2019,2017,"TV-MA","Monopoly (The Bank Of Luck)"
"Movie","Germany, United Kingdom",2018,2017,"PG","Monster Family"
"Movie","United States",2018,2013,"TV-Y7","Monster High 13 Wishes"
"Movie","United States",2015,2015,"TV-Y7","Monster High: Boo York, Boo York"
"Movie","",2020,2017,"TV-Y","Monster High: Electrified"
"Movie","United States",2018,2012,"TV-Y7","Monster High: Escape from Skull Shores"
"Movie","United States",2018,2014,"TV-Y7","Monster High: Freaky Fusion"
"Movie","United States",2018,2013,"TV-Y7","Monster High: Friday Night Frights"
"Movie","United States",2018,2011,"TV-Y7","Monster High: Fright On!"
"Movie","United States",2018,2014,"TV-Y7","Monster High: Frights, Camera, Action!"
"Movie","United States",2018,2012,"TV-Y7","Monster High: Ghouls Rule"
"Movie","United States",2017,2016,"TV-Y7","Monster High: Great Scarrier Reef"
"Movie","United States",2018,2015,"TV-Y7","Monster High: Haunted"
"Movie","United States",2017,2010,"TV-Y7","Monster High: New Ghoul at School"
"Movie","United States",2015,2013,"TV-G","Monster High: Scaris, City of Frights"
"Movie","United States",2018,2013,"TV-Y7","Monster High: Why Do Ghouls Fall in Love?"
"Movie","United States",2020,2006,"PG","Monster House"
"Movie","India, Mexico",2017,2017,"TV-Y7","Monster Island"
"TV Show","Canada",2020,2012,"TV-Y","Monster Math Squad"
"Movie","United States, Germany",2020,2005,"PG-13","Monster-in-Law"
"Movie","United Kingdom",2020,2014,"R","Monsters: Dark Continent"
"TV Show","Japan",2020,2014,"TV-PG","Monthly Girls' Nozaki Kun"
"TV Show","United Kingdom",2019,2013,"TV-G","Monty Don's French Gardens"
"TV Show","United Kingdom",2019,2011,"TV-G","Monty Don's Italian Gardens"
"Movie","United Kingdom",2019,1975,"PG","Monty Python and the Holy Grail"
"TV Show","United Kingdom",2018,2014,"TV-MA","Monty Python Best Bits (mostly)"
"Movie","",2018,2008,"TV-MA","Monty Python Conquers America"
"Movie","United Kingdom",2018,2014,"TV-MA","Monty Python Live (Mostly): One Down, Five to Go"
"Movie","United Kingdom",2018,2000,"TV-MA","Monty Python: Before the Flying Circus"
"Movie","United States",2018,1998,"TV-MA","Monty Python: Live at Aspen"
"Movie","United Kingdom",2018,1982,"R","Monty Python: Live at The Hollywood Bowl"
"Movie","United Kingdom",2018,2014,"TV-MA","Monty Python: The Meaning of Live"
"TV Show","United Kingdom",2018,2009,"TV-MA","Monty Python's Almost the Truth"
"TV Show","United Kingdom, West Germany",2018,1972,"TV-MA","Monty Python's Fliegender Zirkus"
"TV Show","United Kingdom",2018,1974,"TV-14","Monty Python's Flying Circus"
"Movie","United Kingdom",2018,1979,"R","Monty Python's Life of Brian"
"TV Show","United States, United Kingdom",2018,2005,"TV-MA","Monty Python's Personal Best"
"TV Show","Argentina",2019,2018,"TV-MA","Monzón: A Knockout Blow"
"Movie","United Kingdom, United States",2020,2009,"R","Moon"
"Movie","United States",2019,2016,"R","Moonlight"
"Movie","France, Belgium",2017,2015,"R","Moonwalkers"
"Movie","Pakistan, United States",2017,2015,"TV-14","Moor"
"TV Show","Egypt",2019,2018,"TV-14","More to Say"
"TV Show","Netherlands",2020,2020,"TV-Y","Morphle"
"Movie","Germany, United States",2018,2016,"R","Morris from America"
"TV Show","France",2019,2019,"TV-MA","Mortel"
"Movie","United States",2018,2013,"TV-MA","Mortified Nation"
"Movie","India",2018,2011,"TV-14","Morya"
"Movie","United States",2019,2012,"TV-MA","Moshe Kasher: Live in Oakland"
"TV Show","Israel",2018,2017,"TV-MA","Mossad 101"
"TV Show","Brazil",2020,2020,"TV-MA","Most Beautiful Thing"
"Movie","Canada",2017,2016,"TV-MA","Mostly Sunny"
"Movie","United States",2020,2020,"TV-MA","Mosul"
"Movie","Japan",2020,2020,"TV-14","MOTHER"
"TV Show","United States",2017,2016,"TV-Y","Mother Goose Club"
"Movie","India",2020,2019,"TV-14","Motichoor Chaknachoor"
"Movie","India",2018,2016,"TV-PG","Motor Mitraan Di"
"TV Show","Australia, United States",2019,2019,"TV-Y","Motown Magic"
"Movie","India",2017,2016,"TV-Y7-FV","Motu Patlu: King of Kings"
"Movie","Australia",2018,2017,"PG","Mountain"
"TV Show","United States",2020,2020,"TV-MA","Move"
"Movie","United States",2019,2013,"R","Movie 43"
"TV Show","United States",2019,2018,"TV-G","Moving Art"
"TV Show","",2018,2016,"TV-PG","Moving On"
"Movie","United Kingdom, United States",2018,2018,"PG-13","Mowgli: Legend of the Jungle"
"Movie","India",2018,2018,"TV-MA","Mr. Chandramouli"
"Movie","United States",2018,2016,"PG-13","Mr. Church"
"Movie","United States",2020,2002,"PG-13","Mr. Deeds"
"Movie","Israel, Sweden, Germany, Netherlands",2017,2015,"TV-14","Mr. Gaga: A True Story of Love and Dance"
"TV Show","United States",2020,2020,"TV-14","Mr. Iglesias"
"Movie","United States",2020,2014,"PG","Mr. Peabody & Sherman"
"Movie","Mexico",2016,2016,"TV-MA","Mr. Pig"
"Movie","United States",2020,2015,"R","MR. RIGHT"
"Movie","",2020,2009,"TV-14","Mr. Romantic"
"Movie","United States",2017,2017,"TV-MA","Mr. Roosevelt"
"TV Show","South Korea",2018,2018,"TV-MA","Mr. Sunshine"
"Movie","Hong Kong",2018,1984,"TV-14","Mr. Virgin"
"Movie","United States",2019,2007,"PG-13","Mr. Woodcock"
"TV Show","Canada",2019,2013,"TV-G","Mr. Young"
"Movie","India",2020,2020,"TV-MA","Mrs. Serial Killer"
"Movie","Egypt",2019,2012,"TV-14","Ms. Mammy"
"Movie","India",2017,2017,"PG-13","Mubarakan"
"Movie","Chile, United States, France",2016,2016,"TV-MA","Much Ado About Nothing"
"Movie","France, Morocco",2017,2015,"TV-MA","Much Loved"
"Movie","United States",2020,2020,"TV-14","Mucho Mucho Amor: The Legend of Walter Mercado"
"Movie","Turkey",2017,2015,"TV-14","Mucize"
"Movie","United States",2021,2012,"PG-13","Mud"
"Movie","United States",2017,2017,"R","Mudbound"
"Movie","India",2018,2012,"TV-14","Mugamoodi"
"Movie","Chile",2020,2019,"TV-14","Mujeres arriba"
"Movie","India",2019,2004,"TV-PG","Mujhse Shaadi Karogi"
"Movie","India",2017,1989,"TV-14","Mujrim"
"Movie","Malaysia",2020,2006,"TV-PG","Mukhsin"
"Movie","India",2016,2012,"TV-MA","Mumbai Cha Raja"
"Movie","India",2020,2014,"TV-MA","Mumbai Delhi Mumbai"
"Movie","India",2019,2003,"TV-14","Mumbai Matinee"
"Movie","India",2018,2008,"TV-MA","Mumbai Meri Jaan"
"Movie","Malaysia",2019,2018,"TV-MA","Munafik 2"
"Movie","India",2018,2014,"TV-14","Mundeyan Ton Bachke Rahin"
"Movie","France",2018,2014,"PG","Mune: Guardian of the Moon"
"Movie","United States",2020,2014,"PG","Muppets Most Wanted"
"Movie","India",2020,1987,"TV-14","Muqaddar ka Faisla"
"Movie","India",2017,2017,"TV-MA","Muramba"
"Movie","India",2018,2011,"TV-14","Muran"
"TV Show","United Kingdom",2018,2017,"TV-MA","Murder Maps"
"TV Show","United States",2018,2018,"TV-MA","Murder Mountain"
"Movie","United States",2019,2019,"PG-13","Murder Mystery"
"Movie","United States",2018,2007,"NR","Murder Party"
"Movie","United States",2020,2020,"TV-MA","Murder to Mercy: The Cyntoia Brown Story"
"TV Show","United States",2018,2017,"TV-MA","Murderous Affairs"
"TV Show","Taiwan",2016,2015,"TV-PG","Murphy's Law of Love"
"Movie","India",2019,2019,"TV-14","Music Teacher"
"Movie","Philippines",2020,2013,"TV-14","Must Be... Love"
